pincode,partner
410206,Delhivery Surface
431001,Xpressbees Surface
421302,Delhivery Surface
400053,Xpressbees Surface
400066,Delhivery Surface
400101,Delhivery Surface
413512,Xpressbees Surface
400104,Xpressbees Surface
411033,Xpressbees Surface
412105,Xpressbees Surface
421301,Xpressbees Surface
400070,Delhivery Surface
400080,Xpressbees Surface
400601,Delhivery Surface
401107,Delhivery Surface
411057,Xpressbees Surface
412207,Delhivery Surface
413102,Xpressbees Surface
422009,Xpressbees Surface
400067,Delhivery Air
400607,Delhivery Surface
411014,Xpressbees Surface
411045,Xpressbees Surface
416416,Delhivery Surface
400042,Xpressbees Surface
400072,Delhivery Surface
400708,Xpressbees Surface
411028,Xpressbees Surface
400064,Xpressbees Surface
400706,Delhivery Surface
402201,Xpressbees Surface
410210,Delhivery Surface
411017,Xpressbees Surface
411041,Delhivery Surface
421306,Delhivery Surface
424001,Delhivery Surface
431203,Delhivery Surface
431601,Delhivery Air
442401,Delhivery Air
400008,Delhivery Surface
400016,Delhivery Surface
400022,Delhivery Surface
400050,Xpressbees Air
400068,Delhivery Surface
400071,Xpressbees Surface
400612,Delhivery Surface
400614,Delhivery Surface
400615,Delhivery Air
400703,Delhivery Surface
401105,Xpressbees Surface
401209,Xpressbees Surface
401303,Delhivery Surface
411015,Xpressbees Surface
411027,Xpressbees Surface
411038,Xpressbees Surface
411043,Delhivery Surface
411060,Xpressbees Surface
414001,Delhivery Surface
421201,Delhivery Surface
421202,Delhivery Surface
421601,Delhivery Surface
422101,Delhivery Surface
425442,Delhivery Surface
431010,Delhivery Surface
431122,Xpressbees Surface
440024,Delhivery Air
440034,Delhivery Air
400025,Xpressbees Surface
400056,Xpressbees Surface
400057,Delhivery Surface
400063,Xpressbees Surface
400075,Delhivery Surface
400091,Delhivery Surface
400092,Delhivery Surface
400093,Xpressbees Surface
400095,Delhivery Air
400097,Delhivery Surface
400602,Delhivery Surface
400605,Delhivery Surface
400705,Xpressbees Surface
401501,Delhivery Surface
402107,Delhivery Surface
410401,Delhivery Surface
411019,Delhivery Surface
411021,Delhivery Surface
411023,Delhivery Surface
411048,Xpressbees Surface
411051,Delhivery Surface
415002,Xpressbees Surface
416003,Delhivery Surface
421204,Delhivery Surface
421501,Delhivery Surface
423601,Delhivery Surface
425401,Delhivery Surface
425405,Delhivery Surface
425412,Xpressbees Surface
431602,Xpressbees Surface
440002,Delhivery Air
440015,Delhivery Air
440027,Delhivery Air
440037,Delhivery Air
445304,Delhivery Air
